system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A3B2C,4,524,3876,2.09403142798692,0.0000458260548766,1,0.0000458260548766,21821.647154468315
A3B2C,4,524,3876,1.94883828307502,0.0002351303531322,2,0.0001175651765661,8505.920113491187
A3B2C,4,524,3876,1.9606490801088512,0.0002715974228922,4,0.000067899355723,14727.680246020724
A3B2C,4,524,3876,1.9773144931532445,0.0002728124351706,8,0.0000341015543963,29324.176498759127
A3B2C,4,524,3876,1.9639151729643345,0.0002752364440821,16,0.0000172022777551,58131.83662272112
A3B2C,4,524,3876,0.8618945141788572,0.0002037262581288,32,6.366445566527546e-6,157073.51764030405
A3B2C,4,524,3876,0.8707255308981985,0.0002273620699997,64,3.552532343746861e-6,281489.3442870948
A3B2C,4,524,3876,0.8819015419576317,0.0003016961829271,128,2.3570014291181e-6,424267.8802168406
A3B2C,4,524,3876,0.8713818360120058,0.0005329121120739,256,2.081687937788956e-6,480379.3987787333
A3B2C,4,524,3876,0.8772842630278319,0.0009134114400949,512,1.7840067189354158e-6,560536.0054903481
A3B2C,4,524,3876,0.9153621778823436,0.0017380554610863,1024,1.697319786217122e-6,589164.168190566
A3B2C,4,524,3876,0.9053521959576756,0.0021159977628849,2048,1.0332020326586643e-6,967864.9174032034
A3B2C,4,524,3876,0.9470305650029331,0.0046653331611305,4096,1.1389973537916377e-6,877965.1653018106
A3B2C,4,524,3876,0.9694436090067028,0.0087336107750888,8192,1.0661145965684682e-6,937985.4691219188
A3B2C,4,524,3876,0.9803172759711742,0.0166438782080076,16384,1.0158617070317178e-6,984385.9583229448
A3B2C,5,1827,15504,1.0493082960601896,0.00008904544916,1,0.00008904544916,11230.220178941678
A3B2C,5,1827,15504,0.8945476480294019,0.0002252623271197,2,0.0001126311635598,8878.537417120651
A3B2C,5,1827,15504,0.9012314239516854,0.0002289974039886,4,0.0000572493509971,17467.44692441523
A3B2C,5,1827,15504,0.9229415319859982,0.0002326515549793,8,0.0000290814443724,34386.187535728735
A3B2C,5,1827,15504,0.9427524749189616,0.0002875197068788,16,0.0000179699816799,55648.35945921426
A3B2C,5,1827,15504,0.946512739174068,0.0003291714640799,32,0.0000102866082524,97213.77303903773
A3B2C,5,1827,15504,0.9277565239463,0.0005134119458962,64,8.022061654628487e-6,124656.23465048168
A3B2C,5,1827,15504,0.9463650269899516,0.0009283862621523,128,7.2530176730651876e-6,137873.64722873914
A3B2C,5,1827,15504,0.9723875778727232,0.0017269505041185,256,6.74590040671319e-6,148238.18018493854
A3B2C,5,1827,15504,0.9642824020702392,0.0022084964700043,512,4.313469667977188e-6,231831.93043500697
A3B2C,5,1827,15504,1.0090736988931894,0.0047284637209959,1024,4.6176403525350905e-6,216560.8240691588
A3B2C,5,1827,15504,0.98740113992244,0.0080290147510822,2048,3.920417358926897e-6,255074.88321950537
A3B2C,5,1827,15504,1.04125264310278,0.016595888701966,4096,4.051730640128426e-6,246808.1145612146
A3B2C,5,1827,15504,1.0609698670450598,0.0332721726379822,8192,4.061544511472448e-6,246211.75446319705
A3B2C,5,1827,15504,1.0954940589144826,0.0665259943827986,16384,4.060424461840739e-6,246279.67085654472
A3B2C,6,5835,54264,1.4012814031448215,0.0000595939098857,1,0.0000595939098857,16780.238147109416
A3B2C,6,5835,54264,1.093533692182973,0.0003645887449383,2,0.0001822943724691,5485.632861041994
A3B2C,6,5835,54264,1.0830299691297114,0.0003957102480344,4,0.0000989275620086,10108.406390455148
A3B2C,6,5835,54264,1.0928364610299468,0.0004717074250802,8,0.000058963428135,16959.665196364378
A3B2C,6,5835,54264,1.0978055230807513,0.0005236555980518,16,0.0000327284748782,30554.433218177637
A3B2C,6,5835,54264,1.118586035212502,0.0008394294409081,32,0.0000262321700283,38121.13137869087
A3B2C,6,5835,54264,1.1083451728336513,0.0015828261610586,64,0.0000247316587665,40434.00442484206
A3B2C,6,5835,54264,1.110813878942281,0.0021617224949877,128,0.000016888456992,59212.04053563041
