system,order,init,run,is_sim,model_file
MOL_2_1_1_1,3,0.00433591,0.00002127,true,MOL_2_1_1_1_3.sim.onnx
MOL_2_1_1_1,4,0.00756558,0.00003432,false,MOL_2_1_1_1_4.onnx
MOL_2_1_1_1,4,0.0045438,0.00003331,true,MOL_2_1_1_1_4.sim.onnx
MOL_2_1_1_1,5,0.00859076,0.00006966,false,MOL_2_1_1_1_5.onnx
MOL_2_1_1_1,5,0.00518484,0.00006728,true,MOL_2_1_1_1_5.sim.onnx
MOL_2_1_1_1,6,0.01089919,0.00015899,false,MOL_2_1_1_1_6.onnx
MOL_2_1_1_1,6,0.0065767,0.0001564,true,MOL_2_1_1_1_6.sim.onnx
MOL_2_1_1_1,7,0.01473445,0.00035266,false,MOL_2_1_1_1_7.onnx
MOL_2_1_1_1,7,0.00915742,0.00035041,true,MOL_2_1_1_1_7.sim.onnx
MOL_2_1_1_1,8,0.02030911,0.00076359,false,MOL_2_1_1_1_8.onnx
MOL_2_1_1_1,8,0.01252767,0.00076392,true,MOL_2_1_1_1_8.sim.onnx
MOL_2_2,3,0.00704765,0.00001809,false,MOL_2_2_3.onnx
MOL_2_2,3,0.00431315,0.00001724,true,MOL_2_2_3.sim.onnx
MOL_2_2,4,0.00708239,0.00002007,false,MOL_2_2_4.onnx
MOL_2_2,4,0.00420289,0.00001905,true,MOL_2_2_4.sim.onnx
MOL_2_2,5,0.0070679,0.00002346,false,MOL_2_2_5.onnx
MOL_2_2,5,0.00425854,0.00002264,true,MOL_2_2_5.sim.onnx
MOL_2_2,6,0.00726118,0.00003049,false,MOL_2_2_6.onnx
MOL_2_2,6,0.00441276,0.00002892,true,MOL_2_2_6.sim.onnx
MOL_2_2,7,0.00735139,0.00004125,false,MOL_2_2_7.onnx
MOL_2_2,7,0.00444195,0.00004044,true,MOL_2_2_7.sim.onnx
MOL_2_2,8,0.00819837,0.0000601,false,MOL_2_2_8.onnx
MOL_2_2,8,0.00494452,0.00005862,true,MOL_2_2_8.sim.onnx
MOL_2_2_1,3,0.10503179,0.00002209,false,MOL_2_2_1_3.onnx
MOL_2_2_1,3,0.00433155,0.00002104,true,MOL_2_2_1_3.sim.onnx
MOL_2_2_1,4,0.00757022,0.00003419,false,MOL_2_2_1_4.onnx
MOL_2_2_1,4,0.00429092,0.0000322,true,MOL_2_2_1_4.sim.onnx
MOL_2_2_1,5,0.00874426,0.00006837,false,MOL_2_2_1_5.onnx
MOL_2_2_1,5,0.00505317,0.00006496,true,MOL_2_2_1_5.sim.onnx
MOL_2_2_1,6,0.01077651,0.00015471,false,MOL_2_2_1_6.onnx
MOL_2_2_1,6,0.00640354,0.0001509,true,MOL_2_2_1_6.sim.onnx
MOL_2_2_1,7,0.01425485,0.00034013,false,MOL_2_2_1_7.onnx
MOL_2_2_1,7,0.00936989,0.00033789,true,MOL_2_2_1_7.sim.onnx
MOL_2_2_1,8,0.0205359,0.00073507,false,MOL_2_2_1_8.onnx
MOL_2_2_1,8,0.01306837,0.00073107,true,MOL_2_2_1_8.sim.onnx
MOL_3,3,0.00686567,0.00001677,false,MOL_3_3.onnx
MOL_3,3,0.00430091,0.00001656,true,MOL_3_3.sim.onnx
MOL_3,4,0.00685669,0.00001756,false,MOL_3_4.onnx
MOL_3,4,0.00412494,0.0000165,true,MOL_3_4.sim.onnx
MOL_3,5,0.00695399,0.00001764,false,MOL_3_5.onnx
MOL_3,5,0.00430015,0.00001717,true,MOL_3_5.sim.onnx
MOL_3,6,0.00714839,0.00001782,false,MOL_3_6.onnx
MOL_3,6,0.00435403,0.00001716,true,MOL_3_6.sim.onnx
MOL_3,7,0.00710625,0.00001896,false,MOL_3_7.onnx
MOL_3,7,0.00430321,0.00001755,true,MOL_3_7.sim.onnx
MOL_3,8,0.00698778,0.00001896,false,MOL_3_8.onnx
MOL_3,8,0.00433829,0.00001822,true,MOL_3_8.sim.onnx
MOL_3_1,3,0.00690631,0.00001811,false,MOL_3_1_3.onnx
MOL_3_1,3,0.00426442,0.00001745,true,MOL_3_1_3.sim.onnx
MOL_3_1,4,0.00697217,0.0000198,false,MOL_3_1_4.onnx
MOL_3_1,4,0.00424591,0.00001937,true,MOL_3_1_4.sim.onnx
MOL_3_1,5,0.0070332,0.00002345,false,MOL_3_1_5.onnx
MOL_3_1,5,0.00430763,0.00002243,true,MOL_3_1_5.sim.onnx
MOL_3_1,6,0.00715034,0.00002989,false,MOL_3_1_6.onnx
MOL_3_1,6,0.00447851,0.00002895,true,MOL_3_1_6.sim.onnx
MOL_3_1,7,0.00753769,0.00004078,false,MOL_3_1_7.onnx
MOL_3_1,7,0.00448957,0.00003983,true,MOL_3_1_7.sim.onnx
MOL_3_1,8,0.00791001,0.00005947,false,MOL_3_1_8.onnx
MOL_3_1,8,0.00481659,0.00005798,true,MOL_3_1_8.sim.onnx
MOL_3_1_1,3,0.00707924,0.00002169,false,MOL_3_1_1_3.onnx
MOL_3_1_1,3,0.00431776,0.00002083,true,MOL_3_1_1_3.sim.onnx
MOL_3_1_1,4,0.00745084,0.00003348,false,MOL_3_1_1_4.onnx
MOL_3_1_1,4,0.00449672,0.0000323,true,MOL_3_1_1_4.sim.onnx
MOL_3_1_1,5,0.00841098,0.00006738,false,MOL_3_1_1_5.onnx
MOL_3_1_1,5,0.00523713,0.00006438,true,MOL_3_1_1_5.sim.onnx
MOL_3_1_1,6,0.01063478,0.00015275,false,MOL_3_1_1_6.onnx
MOL_3_1_1,6,0.00669002,0.00014922,true,MOL_3_1_1_6.sim.onnx
MOL_3_1_1,7,0.01422049,0.00033713,false,MOL_3_1_1_7.onnx
MOL_3_1_1,7,0.00938219,0.00033398,true,MOL_3_1_1_7.sim.onnx
MOL_3_1_1,8,0.01944879,0.00072641,false,MOL_3_1_1_8.onnx
MOL_3_1_1,8,0.01195733,0.00071895,true,MOL_3_1_1_8.sim.onnx
MOL_3_2,3,0.00709873,0.000022,false,MOL_3_2_3.onnx
MOL_3_2,3,0.00433128,0.00002099,true,MOL_3_2_3.sim.onnx
MOL_3_2,4,0.0074952,0.00003428,false,MOL_3_2_4.onnx
MOL_3_2,4,0.00448137,0.0000323,true,MOL_3_2_4.sim.onnx
MOL_3_2,5,0.00838357,0.00006755,false,MOL_3_2_5.onnx
MOL_3_2,5,0.0049342,0.00006367,true,MOL_3_2_5.sim.onnx
MOL_3_2,6,0.01083135,0.00015316,false,MOL_3_2_6.onnx
MOL_3_2,6,0.00633102,0.00014933,true,MOL_3_2_6.sim.onnx
MOL_3_2,7,0.01430652,0.00033544,false,MOL_3_2_7.onnx
MOL_3_2,7,0.0092066,0.00033408,true,MOL_3_2_7.sim.onnx
MOL_3_2,8,0.01946061,0.00072512,false,MOL_3_2_8.onnx
MOL_3_2,8,0.0120032,0.00072353,true,MOL_3_2_8.sim.onnx
MOL_4,3,0.00700132,0.00001826,false,MOL_4_3.onnx
MOL_4,3,0.00434107,0.00001737,true,MOL_4_3.sim.onnx
MOL_4,4,0.00703523,0.00002042,false,MOL_4_4.onnx
MOL_4,4,0.00422556,0.00001913,true,MOL_4_4.sim.onnx
MOL_4,5,0.00715191,0.0000236,false,MOL_4_5.onnx
MOL_4,5,0.00435257,0.00002245,true,MOL_4_5.sim.onnx
MOL_4,6,0.00732773,0.00002973,false,MOL_4_6.onnx
MOL_4,6,0.00441194,0.00002887,true,MOL_4_6.sim.onnx
MOL_4,7,0.00761146,0.00004122,false,MOL_4_7.onnx
MOL_4,7,0.00456931,0.0000404,true,MOL_4_7.sim.onnx
MOL_4,8,0.00797062,0.00005995,false,MOL_4_8.onnx
MOL_4,8,0.00485765,0.00005829,true,MOL_4_8.sim.onnx
MOL_4_1,3,0.00708699,0.000022,false,MOL_4_1_3.onnx
MOL_4_1,3,0.00420152,0.00002117,true,MOL_4_1_3.sim.onnx
MOL_4_1,4,0.00752226,0.00003342,false,MOL_4_1_4.onnx
MOL_4_1,4,0.00433707,0.0000329,true,MOL_4_1_4.sim.onnx
MOL_4_1,5,0.00846524,0.00006744,false,MOL_4_1_5.onnx
MOL_4_1,5,0.00515194,0.00006378,true,MOL_4_1_5.sim.onnx
