system,order,num_pips,num_flat_exponents,jit,run
A2B,3,13,20,1.000371818896383,0.00011157898698
A2B,4,22,35,1.0189548591151834,0.0001137215225026
A2B,5,34,56,0.9916165792383254,0.0001355374418199
A2B,6,50,84,1.0092943687923253,0.0001360852504149
A2B,7,70,120,1.0102950348518789,0.0001349689718335
A2B,8,95,165,1.0469552190043032,0.0001382133131846
A2B2,3,33,84,1.0761200650595129,0.0001351013313978
A2B2,4,75,210,1.1296977628953755,0.0001394335180521
A2B2,5,153,462,1.0733217829838395,0.0001417963905259
A2B2,6,291,924,1.0723021277226508,0.0001482144091278
A2B2,7,519,1716,1.0860740221105516,0.0001585262035951
A2B2,8,882,3003,1.0825605248101056,0.0001733996625989
A2B2C,3,102,286,1.3010185081511736,0.0001389690116047
A2B2C,4,323,1001,1.1502907751128078,0.0001502282125875
A2B2C,5,904,3003,1.1725440067239106,0.0001790280593559
A2B2C,6,2304,8008,1.2038470092229543,0.000265000751242
A2B2C,7,5416,19448,1.3025172431953251,0.0004348809598013
A2B2C,8,11910,43758,1.5753113212995231,0.0007628053892403
A2BC,3,50,84,1.0773464539088309,0.0001361663313582
A2BC,4,120,210,1.1216011750511825,0.0001386017398908
A2BC,5,256,462,1.0718992999754846,0.000141229010187
A2BC,6,502,924,1.072556008119136,0.0001520645013079
A2BC,7,918,1716,1.0692354757338762,0.0001586755225434
A2BC,8,1589,3003,1.0818159179762006,0.0001782704284414
A2BCD,3,168,286,1.1530995317734778,0.000140290595591
A2BCD,4,561,1001,1.154441775754094,0.0001502482593059
A2BCD,5,1632,3003,1.1710197138600051,0.0001817160239443
A2BCD,6,4264,8008,1.2045059171505272,0.0002718172501772
A2BCD,7,10208,19448,1.30098873982206,0.0004460643790662
A2BCD,8,22734,43758,1.5726916277781129,0.0007824111916124
A3,3,7,20,0.9907392058521508,0.0001113605778664
A3,4,11,35,1.0197066757827995,0.0001128058880567
A3,5,16,56,0.996742087882012,0.0001140814600512
A3,6,23,84,1.0057695438154042,0.00013496668078
A3,7,31,120,1.0105472533032298,0.000136488401331
A3,8,41,165,1.0438852976076305,0.0001376097695901
A3B,3,23,84,1.075667886994779,0.000136996647343
A3B,4,51,210,1.1238553100265565,0.0001385031314566
A3B,5,103,462,1.0730642089620233,0.0001438596984371
A3B,6,196,924,1.0678402576595545,0.0001474456954747
A3B,7,348,1716,1.069702484179288,0.0001590588968247
A3B,8,590,3003,1.0934285866096616,0.0001772245299071
A3B2,3,48,286,1.1625490267761052,0.0001395702501758
A3B2,4,139,1001,1.1491614752449095,0.0001499615609645
A3B2,5,364,3003,1.1755330730229616,0.0001793035585433
A3B2,6,889,8008,1.20356015721336,0.0002684475667774
A3B2,7,2022,19448,1.305720450822264,0.00043401976116
A3B2,8,4343,43758,1.573418516665697,0.0007618841296061
A3BC,3,75,286,1.1638395320624113,0.0001390897715464
A3BC,4,231,1001,1.1499178097583354,0.000149960918352
A3BC,5,636,3003,1.1804891936481,0.0001800481975078
A3BC,6,1603,8008,1.2068922817707062,0.000265516359359
A3BC,7,3737,19448,1.304942816961557,0.0004347898811101
A3BC,8,8163,43758,1.569225749000907,0.0007582895411178
A4,3,11,84,1.0716854892671108,0.0001374404598027
A4,4,22,210,1.1178802028298378,0.0001373968273401
A4,5,40,462,1.0685098366811872,0.0001419373182579
A4,6,72,924,1.0694728889502585,0.0001509903976693
A4,7,120,1716,1.0648791887797415,0.0001585967512801
A4,8,195,3003,1.081709906924516,0.000175186060369
A4B,3,30,286,1.151616949122399,0.0001382060814648
A4B,4,83,1001,1.1560800108127296,0.0001510952087119
A4B,5,208,3003,1.169518400914967,0.0001811437634751
A4B,6,495,8008,1.2148733348585663,0.0002672829804942
A4B,7,1101,19448,1.308480808045715,0.0004428804200142
A4B,8,2327,43758,1.579049644060433,0.0007738074799999
A5,3,12,286,1.1515339901670814,0.0001398892607539
A5,4,29,1001,1.1442432249896228,0.0001491322601214
A5,5,64,3003,1.1691696108318863,0.0001826733304187
A5,6,140,8008,1.2041065720841289,0.0002748791500926
A5,7,289,19448,1.309882144909352,0.0004582016076892
A5,8,580,43758,1.57896314188838,0.0008215354196727
ABC,3,20,20,0.9954508086666464,0.0001114149205386
ABC,4,35,35,1.016781663056463,0.0001129313092678
ABC,5,56,56,0.9850448668003082,0.0001362784299999
ABC,6,84,84,1.0083998329937458,0.000136628751643
ABC,7,120,120,1.011142718140036,0.0001361152203753
ABC,8,165,165,1.0418927897699175,0.000137630472891
ABCD,3,84,84,1.0829780818894506,0.0001370431203395
ABCD,4,210,210,1.1236134376376867,0.000139044621028
ABCD,5,462,462,1.079683057963848,0.0001435157516971
ABCD,6,924,924,1.0676599950529635,0.0001478008599951
ABCD,7,1716,1716,1.0748121128417552,0.0001607582205906
ABCD,8,3003,3003,1.0871202549897134,0.0001866148086264
ABCDE,3,286,286,1.1581060690805316,0.0001394649175927
ABCDE,4,1001,1001,1.1382344332523644,0.0001502645621076
ABCDE,5,3003,3003,1.1755920271389186,0.000184587589465
ABCDE,6,8008,8008,1.2026082258671522,0.000280250669457
ABCDE,7,19448,19448,1.3056685039773583,0.0004668806586414
ABCDE,8,43758,43758,1.5475846487097442,0.0008318437309935
